
---------------------

------ 2016 ------
          500000 ST_TuneCP5_BNV_TDUE /ST_TuneCP5_BNV_TDUE_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
          494000 ST_TuneCP5_BNV_TDUMu /ST_TuneCP5_BNV_TDUMu_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
          464000 ST_TuneCP5_BNV_TSCE /ST_TuneCP5_BNV_TSCE_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
          500000 ST_TuneCP5_BNV_TSCMu /ST_TuneCP5_BNV_TSCMu_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
          494000 ST_TuneCP5_BNV_TSUE /ST_TuneCP5_BNV_TSUE_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
          500000 ST_TuneCP5_BNV_TSUMu /ST_TuneCP5_BNV_TSUMu_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
               0 ST_s_channel       /ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
         8433998 ST_tW_antitop_5f_NoFullyHadronicDecays /ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM
         5674000 ST_tW_antitop_5f_inclusiveDecays /ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM
         5649000 ST_tW_channel      /ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM
